Čas (Index),Buy_Price,Sell_Price,Sloupec_3,Sloupec_4,Sloupec_5,Sloupec_6
177427019.1721,1282.5,1206.7,3359086,1473304,6223831,30296806
177427021.1721,1282.4,1206.7,3359139,1473016,6223831,30297094
177427023.1721,1282.3000000000002,1206.7,3360419,1472511,6223831,30297599
177427025.1721,1282.3000000000002,1206.7,3360419,1472109,6223831,30298001
177427027.1721,1282.3000000000002,1206.7,3360419,1472074,6223831,30298036
177427029.1721,1282.3000000000002,1206.7,3360395,1471497,6223855,30298613
177427031.1721,1282.3000000000002,1206.7,3360394,1470228,6223856,30299882
177427033.1721,1282.3000000000002,1206.7,3360394,1470191,6223856,30299919
177427035.1721,1282.3000000000002,1206.7,3360394,1469435,6223856,30300675
177427037.1721,1282.3000000000002,1206.7,3360138,1469435,6224112,30300675
177427039.1721,1282.3000000000002,1206.7,3360138,1468662,6224112,30301448
177427041.1721,1282.3000000000002,1206.7,3360138,1456887,6221315,30257599
177427043.1721,1282.3000000000002,1206.7,3360138,1456186,6221315,30258300
177427045.1721,1282.3000000000002,1206.7,3360138,1455737,6221315,30258749
177427047.1721,1282.3000000000002,1206.7,3360138,1455570,6221315,30258916
177427049.1721,1282.3000000000002,1206.7,3360138,1454926,6221315,30259560
177427051.1721,1282.2000000000003,1206.8,3360138,1453275,6221315,30261211
177427053.1721,1282.2000000000003,1206.8,3360205,1473194,6221315,30261292
177427055.1721,1282.2000000000003,1206.8,3360205,1472578,6221315,30261908
177427057.1721,1282.2000000000003,1206.8,3360781,1472032,6221315,30262454
177427059.1721,1282.2000000000003,1206.8,3360781,1471920,6221315,30262566
177427061.1721,1282.1000000000004,1206.8,3360918,1471567,6221316,30262919
177427063.1721,1282.1000000000004,1206.8,3360790,1471300,6221444,30263186
177427065.1721,1282.1000000000004,1206.8,3360790,1471044,6221444,30263442
177427067.1721,1282.1000000000004,1206.8,3360790,1470890,6221444,30263596
177427069.1721,1282.1000000000004,1206.8999999999999,3360790,1470799,6221444,30263687
177427071.1721,1282.0000000000005,1206.6999999999998,3360790,1470286,6221444,30264712
177427073.1721,1282.0000000000005,1206.7999999999997,3360951,1463103,6221636,30264884
177427075.1721,1282.0000000000005,1206.7999999999997,3360951,1462832,6221636,30265155
177427077.1721,1282.0000000000005,1206.7999999999997,3360951,1462829,6221636,30265158
177427079.1721,1282.0000000000005,1206.7999999999997,3360951,1462659,6221636,30265328
177427081.1721,1282.0000000000005,1206.7999999999997,3360951,1462659,6221636,30265328
177427083.1721,1282.0000000000005,1206.7999999999997,3360951,1462508,6221636,30265479
177427085.1721,1281.9000000000005,1206.7999999999997,3361051,1462387,6221636,30265600
177427087.1721,1281.8000000000006,1206.7999999999997,3361051,1462339,6221636,30265648
177427089.1721,1281.8000000000006,1206.7999999999997,3361105,1461813,6221636,30266174
177427091.1721,1281.8000000000006,1206.7999999999997,3361105,1460298,6221636,30267689
177427093.1721,1281.8000000000006,1206.7999999999997,3361105,1459967,6221636,30268020
177427095.1721,1281.8000000000006,1206.7999999999997,3361105,1459192,6221636,30268795
177427097.1721,1281.8000000000006,1206.7999999999997,3361105,1458979,6221636,30269008
177427099.1721,1282.5000000000007,1206.7999999999997,3361105,1458803,6221636,30269184
177427101.1721,1282.5000000000007,1206.7999999999997,3358865,1457705,6223876,30270282
177427103.1721,1282.5000000000007,1206.7999999999997,3358865,1457606,6223876,30270381
177427105.1721,1282.5000000000007,1206.7999999999997,3358865,1454199,6223876,30273788
177427107.1721,1282.4000000000008,1206.7999999999997,3358865,1454103,6223876,30273884
177427109.1721,1282.5000000000007,1206.7999999999997,3356888,1453856,6225924,30274131
177427111.1721,1282.5000000000007,1206.6999999999998,3354968,1453274,6227844,30274245
177427113.1721,1282.5000000000007,1206.6999999999998,3353048,1452116,6229764,30275403
177427115.1721,1282.5000000000007,1206.6999999999998,3351500,1451812,6231941,30275707
177427117.1721,1282.5000000000007,1206.6999999999998,3349388,1448325,6234053,30279194
177427119.1721,1282.5000000000007,1206.6999999999998,3349388,1445380,6234053,30282139
177427121.1721,1282.3000000000006,1206.6999999999998,3349595,1444788,6234053,30282731
177427123.1721,1282.5000000000007,1206.6999999999998,3349595,1444437,6234053,30283082
177427125.1721,1282.5000000000007,1206.6999999999998,3347547,1444437,6236101,30283082
177427127.1721,1282.5000000000007,1206.6999999999998,3347547,1444437,6236101,30283082
177427129.1721,1282.4000000000008,1206.6999999999998,3347547,1444412,6236101,30283107
177427131.1721,1282.4000000000008,1206.6999999999998,3347630,1444391,6236101,30283128
177427133.1721,1282.4000000000008,1206.6999999999998,3347629,1444131,6236102,30283388
177427135.1721,1282.4000000000008,1206.6999999999998,3347629,1444131,6236102,30283388
177427137.1721,1282.4000000000008,1206.6999999999998,3347629,1443938,6236102,30283581
177427139.1721,1282.3000000000009,1206.6999999999998,3347832,1440729,6236102,30286790
177427141.1721,1282.3000000000009,1206.6999999999998,3347872,1440729,6236102,30286790
177427143.1721,1282.3000000000009,1206.6999999999998,3347808,1440581,6236166,30286938
177427145.1721,1282.3000000000009,1206.6999999999998,3347808,1440579,6236166,30286940
