Timestamp,Buy_Price,Sell_Price
177427275.1659,68.9,9.9
177427277.1659,69.0,9.9
177427279.1659,69.0,9.9
177427281.1659,69.0,9.9
177427283.1659,69.0,9.9
177427285.1659,69.0,9.9
177427287.1659,69.0,9.9
177427289.1659,69.0,9.9
177427291.1659,69.0,9.9
177427293.1659,69.0,9.9
177427295.1659,69.0,9.9
177427297.1659,69.0,9.9
177427299.1659,69.0,9.9
177427301.1659,69.0,9.9
177427303.1659,69.0,9.9
177427305.1659,69.0,9.9
177427307.1659,69.0,9.9
177427309.1659,69.0,9.9
177427311.1659,69.0,9.9
177427313.1659,69.0,9.9
177427315.1659,69.0,9.9
177427317.1659,69.0,9.9
177427319.1659,69.0,9.9
177427321.1659,69.0,9.9
177427323.1659,69.0,9.9
177427325.1659,69.0,9.9
177427327.1659,69.0,9.9
177427329.1659,69.0,9.9
177427331.1659,69.0,9.9
177427333.1659,69.0,9.9
177427335.1659,69.0,9.9
177427337.1659,69.0,9.9
177427339.1659,69.0,9.9
177427341.1659,69.0,9.9
177427343.1659,69.0,9.9
177427345.1659,69.0,9.9
177427347.1659,69.0,9.9
177427349.1659,69.0,9.9
177427351.1659,69.0,9.9
177427353.1659,69.0,9.9
177427355.1659,69.0,9.9
177427357.1659,69.0,9.9
177427359.1659,69.0,9.9
177427361.1659,69.0,9.9
177427363.1659,69.0,9.9
177427365.1659,69.0,9.9
177427367.1659,69.0,9.9
177427369.1659,69.0,9.9
177427371.1659,69.0,9.9
177427373.1659,69.0,9.9
177427375.1659,69.0,9.9
177427377.1659,69.0,9.9
177427379.1659,69.0,9.9
177427381.1659,69.0,9.9
177427383.1659,69.0,9.9
177427385.1659,68.9,9.9
177427387.1659,68.9,9.9
177427389.1659,68.9,9.9
177427391.1659,68.9,9.9
177427393.1659,68.9,9.9
177427395.1659,68.9,9.9
177427397.1659,68.9,9.9
177427399.1659,68.9,9.9
177427401.1659,68.9,9.9
177427403.1659,68.80000000000001,9.9
177427405.1659,68.80000000000001,9.9
177427407.1659,68.80000000000001,9.9
177427409.1659,68.80000000000001,9.9
177427411.1659,68.80000000000001,9.9
177427413.1659,68.80000000000001,9.9
177427415.1659,68.80000000000001,9.9
177427417.1659,68.80000000000001,9.9
177427419.1659,68.80000000000001,9.9
177427421.1659,68.9,9.9
177427423.1659,68.9,9.9
177427425.1659,68.9,9.9
177427427.1659,68.9,9.9
177427429.1659,68.9,9.9
177427431.1659,68.9,9.9
177427433.1659,68.9,9.9
177427435.1659,68.9,9.9
177427437.1659,68.9,9.9
177427439.1659,68.9,9.9
177427441.1659,68.9,9.9
177427443.1659,68.9,9.9
177427445.1659,68.9,9.9
177427447.1659,68.9,9.9
177427449.1659,68.9,9.9
177427451.1659,68.9,9.9
177427453.1659,68.9,9.9
177427455.1659,68.9,9.9
177427457.1659,68.9,9.9
177427459.1659,68.9,9.9
177427461.1659,68.9,9.9
177427463.1659,68.9,9.9
177427465.1659,68.9,9.9
177427467.1659,68.9,9.9
177427469.1659,68.9,9.9
177427471.1659,68.9,9.9
177427473.1659,68.9,9.9
177427475.1659,69.0,9.9
177427477.1659,69.0,9.9
177427479.1659,69.0,9.9
177427481.1659,69.0,9.9
177427483.1659,69.0,9.9
177427485.1659,69.0,9.9
177427487.1659,69.0,9.9
177427489.1659,69.0,9.9
177427491.1659,69.0,9.9
177427493.1659,69.0,9.9
177427495.1659,69.0,9.9
177427497.1659,69.0,9.9
177427499.1659,69.0,9.9
177427501.1659,69.0,9.9
177427503.1659,69.0,9.9
177427505.1659,69.0,9.9
177427507.1659,69.0,9.9
177427509.1659,69.0,9.9
177427511.1659,69.0,9.9
177427513.1659,69.0,9.9
177427515.1659,69.0,9.9
177427517.1659,69.0,9.9
177427519.1659,69.0,9.9
177427521.1659,68.9,9.9
177427523.1659,68.9,9.9
177427525.1659,68.9,9.9
177427527.1659,69.0,9.9
177427529.1659,69.0,9.9
177427531.1659,69.0,9.9
177427533.1659,69.0,9.9
177427535.1659,69.0,9.9
177427537.1659,69.0,9.9
177427539.1659,69.0,9.9
177427541.1659,69.0,9.9
177427543.1659,69.0,9.9
177427545.1659,69.0,9.9
177427547.1659,69.0,9.9
177427549.1659,69.0,9.9
177427551.1659,69.0,9.9
177427553.1659,69.0,9.9
177427555.1659,69.0,9.9
177427557.1659,69.0,9.9
177427559.1659,69.0,9.9
177427561.1659,69.0,9.9
177427563.1659,69.0,9.9
177427565.1659,69.0,9.9
177427567.1659,69.0,9.9
177427569.1659,69.0,9.9
177427571.1659,69.0,9.9
177427573.1659,69.0,9.9
177427575.1659,69.0,9.9
177427577.1659,69.0,9.9
177427579.1659,69.0,9.9
177427581.1659,69.0,9.9
177427583.1659,69.0,9.9
177427585.1659,69.0,9.9
177427587.1659,69.0,9.9
177427589.1659,69.0,9.9
177427591.1659,69.0,9.9
177427593.1659,69.0,9.9
177427595.1659,69.0,10.0
177427597.1659,69.0,10.0
177427599.1659,69.0,10.0
177427601.1659,69.0,10.0
177427603.1659,68.9,10.0
177427605.1659,68.9,13.0
